Language,Language-code,TotalRetweetsInThatLang,IDOfTweet,RetweetCount,Text
(Korean,ko,290862,780082035381575680,55207,RT @BTS_twt: 드디어 제 인트로가 공개가 되었네요  방탄소년단 정규 2집 인트로라서 더 큰 의미가 있는 거 같습니다 오랫동안 기다려왔고 열심히 한 만큼 좋은 결과물이 나온 거 같아서 행복하네요 이제 시작입니다 많이 기대해주세요!! 방탄 파이…)
(Korean,ko,290862,679927933356527616,45339,RT @BTS_twt: 미리메리크리스마스  아이조아라~ https://t.co/pxXcTjih9w)
(Korean,ko,290862,779607373581197312,42424,RT @BTS_twt: 이 노래를 아주 많이 들어요 #RMusic https://t.co/0Wq2Z9NBbj)
(Korean,ko,290862,606078927002464257,28666,RT @YJ_Hello: 트위터 용어  계폭합니다 - 5분뒤 봐요 동결합니다 - 5분뒤 봐요 팔로정리함 - 5분뒤 봐요 마감하러감 - 5분뒤 봐요 공부하러감 - 5분뒤 봐요 자러갑니다 - 5분뒤 봐요 배터리없음 - 5분뒤 봐요 5분뒤 봐요 - 2시간…)
(Korean,ko,290862,754237036941283328,24028,RT @8509l9: 님들 이거 좀 봐주셈 고양이들 짱 귀여움😂💕💕💕 https://t.co/Y3e2pIz1bE)
(Korean,ko,290862,475593856734339072,23850,RT @BTS_twt: 먹방 1 http://t.co/NKwSV65zAo)
(Korean,ko,290862,756132007776702464,21742,RT @booon_me12: 이 장면 넘 완벽하게 아름답고 소름끼쳐서 멈출 수가 없다 https://t.co/RwGgtmQ02R)
(Korean,ko,290862,578114646621560832,21578,RT @Changnim12: <생물시간> 교수님 : 핵이 없는 생물을 무엇이라 합니까? 학생 : 핵노답 교수님 : 방금 누굽니까 ((정적))  나 : (ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂㅋㅋㅋ))
(Korean,ko,290862,750896589145645056,20981,RT @ljh777333: 행복은 돈주고 살 수 있어!! 그냥 니 돈이 모자란거야!!)
(Korean,ko,290862,741958011896266753,20159,RT @whitericecat: 아직도 낚이고 있다 https://t.co/ilN49WRinu)
(Korean,ko,290862,780029224836931584,18491,RT @eaven_exo: ✔️ 탐라에 박제할 것  1. 명확히 나오도록 (초성)
(Korean,ko,290862,661457174900682752,18104,RT @Oxerwatch: 존나 트위터하면서 느낀거 잇는데 한국은 존잘님 그림 무조건 알티눌러서 알려야한다는 홍익인간 사상 쩔고 일본은 존잘님 그림 알티해 퍼트리면 민폐일지도 모르니 별만 박는 와의 정신 쩔고 미국은 존잘님 그림 인용으로 자기 감상까…)
(Korean,ko,290862,765103797500645377,17052,RT @BlueSpica0321: 똑같이 생긴 수십명의 캐릭터 사이에 숨어있는 플레이어를 찾아내야 하는 2인용 숨바꼭질 게임.  https://t.co/MEdFxuw0Vx ㅋㅋㅋㅋㅋㅋㅋㅋㅋ AI인척 해야함ㅋㅋㅋㅋㅋㅋㅋ https://t.co/ciX8…)
(Korean,ko,290862,779950153952137216,16238,RT @pitapat_geun: 인형뽑기 고수인 제 트친이 알려주는 인형뽑기 팁입니다... 인형뽑기는 돈 낭비가 아닙니다 과학입니다 아니 뭔 인형뽑기 하는 데에 크레인 경로까지 따져 미쳤다ㅋㄱㅋㄱㅋㅋㅋ https://t.co/TOitq2wHVZ)
(Korean,ko,290862,779634244012298240,15277,RT @CroMiSS: 이분거 다재밌어ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ어떡해 미치겠다 요염한 빵댕이 어쩔거냑우)
(Korean,ko,290862,714426736511815680,14748,RT @rang_kurang: 마음 누르는 이유  트친분 코스 사진이 예쁨 트친분 녹음 목소리가 좋음 트친분 그림 올리신거에 치여버림 멘션 달 타이밍을 못잡음 멘션달고 싶은데 말이 생각안남 괜히 멘션하면 불편하실거 같음 그냥 트친분이 좋음 더 친해지…)
(Korean,ko,290862,766991528296271873,13769,RT @redfoxseye: 허락받고 만지기/함부로 만지기 https://t.co/jFrZ2L4SkV)
(Korean,ko,290862,779637353237221376,13513,RT @subsub_22: 아 시발 ㅋㅋㅋㅋ개웃김 저 롯리 알바하는데 저랑 매니저언니가 햄버거 만드는 고딩 남자애보고 빨리빨리좀 하라니까 모자 벗어던지면서 "차라리 저를 짜르고 스펀지밥을 쓰세요ㅠㅠ!!!" 라ㅏ고함)
(Korean,ko,290862,770259455627845637,13425,RT @duxkduxk: 장르 흥한지 n년뒤에 뒤늦게 치인사람 https://t.co/jeVkzFykj3)
(Korean,ko,290862,689340890943369216,13047,RT @FOR_1219: 방통위에 따라 탐라수요조사 해봅니다. 아육대가 계속 이어가기를 원하시는 분은 하트)
(Korean,ko,290862,691971773777072128,12871,RT @guae_do: 397. 자켓사진 찍으면서 멘붕왔던 애기가 이제는 화보를 씹어드시게 된 성장 https://t.co/3PIzT2YdXY)
(Korean,ko,290862,647604058044305411,12617,RT @bts_bighit: 즐거운 한가위🌝  연휴가 시작되었습니다.  안전한 귀성길 되세요! 추석에도 방탄과 함께 💣💥  (Selfie. 랩몬&슈가&제이홉 @ 올포스원) http://t.co/uv24NcXetH)
(Korean,ko,290862,728069256328323072,12407,RT @hl__619: 여러분 이백현이 돈짤보고... 두시간만에 40받앗어요)
(Korean,ko,290862,765713711940055044,11481,RT @melien17: 아진짜 님들 제발 나랑 이 귀여운영상좀 같이봐주세요 ㅠㅠㅠㅠㅠ 넘귀여워서 세상사람들 다봤으면 좋겠다구 ㅠㅠㅠㅠㅠㅠ 본격 눈새관캐오너님께 관캐상담받는영상ㅋㅋ큐ㅠㅠㅠㅠㅠ https://t.co/3yfWAFORuo)
(Korean,ko,290862,713286689838379008,11272,RT @mddmon: 자컾AU 되게 로맨틱하지 어느 세계에서도 너를 꼭 만난다는게)
(Korean,ko,290862,751319018057764864,10827,RT @PasteCat: 전국노래자랑 팬으로서 갓매드무비 인정한다 https://t.co/BD5Mqbprol)
(Korean,ko,290862,767902206594981888,10467,RT @leekaaro: 32. 새벽의 트위터 https://t.co/aoizr9V6KY)
(Korean,ko,290862,751657990877351936,10195,RT @UZDA7JCIboD3fhI: 놀랍지만 이거 기말과제로 냄 https://t.co/MvT3qezlmx)
(Korean,ko,290862,710795731867537408,9803,RT @silkidoodle: 고양이 발바닥과 벚꽃이라니..너무 귀엽다 https://t.co/ThzcuPLocI)
(Korean,ko,290862,706321110321639426,9218,RT @Yalmir_S: 이 교수 진짜 학생들 괴롭히는데 도가 텄다... https://t.co/FnzSIZ3LqP)
(Korean,ko,290862,751659918118121472,9036,RT @UZDA7JCIboD3fhI: 이것도 기말과제 저랑 광고계약해주세요 ㅎㅎㅎㅎㅎㅎ 근데 이거 교수님이 맘에 들어하셨다고 https://t.co/YZ6b3XkdVJ)
(Korean,ko,290862,778880672693833729,8778,RT @Syongri_: 핸드폰 케이스보는데 자식자랑(^*^) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/bQW52spyNU)
(Korean,ko,290862,779633398557974528,8592,RT @bts_min0613: 어릴때 피아노치신분들중에 이거아시는분 RT좀 ㅋㅋㅋㄱㅋㅋㅋㅋㅋㄱㅋㅋㅋㄱㅋㅋㄱㄱㅋㅋㅋㅋㄱㅋㅋㄱㅋㅋㅋㄱㅋㅋㅋㄱㄱㄱ https://t.co/qT5RaHcDkN)
(Korean,ko,290862,769811810656464896,8515,RT @g4azee: 오새훈 치킨 교정기에 낀 짤인데 계속 보게됨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋzzzzㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/m2PfljnCAI)
